;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС «ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ «ЛЕНИНСКИЙ»;;;;;;;
ID_проекта;№ п/п;Наименование  работ (разделов работ).;№ Договора;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
0feb8a44-a0f4-11ef-af7f-0050560219d5;5;Отопление, вентиляция и кондиционирование.;65-ХСА-1/24;ОВ;;КПП;65-ХСА-1/24-ОВ-КПП;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;КРП выдал 01.10.25;02.10.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;6;Пожарная сигнализация. ;65-ХСА-1/24;ПС;;КПП;65-ХСА-1/24-ПС-КПП;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;КРП выдал 01.08.25;04.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;Мойка;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Общие архитектурно-строительные решения.;65-ХСА-1/24;АС;;МР;65-ХСА-1/24-АС-МР;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, принят;принят;развернуть мойку на 180 град (ориентировать витриной на дорогу) по указанию ГАПа от 13.02.26;;"КРП выдал 03.06.25
КРП выдал 27.06.25";"10.06.25
22.09.25";27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;2;Конструкции железобетонные, конструкции металлические. ;65-ХСА-1/24;КЖ,КМ;;МР;65-ХСА-1/24-КЖ,КМ-МР;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;развернуть мойку на 180 град (ориентировать витриной на дорогу) по указанию ГАПа от 13.02.26;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
КРП выдал 04.08.25
КРП выдал 13.08.25";"27.05.25
04.08.25
13.08.25";"30.11.25 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;3;Электрическое освещение и электрооборудование. ;65-ХСА-1/24;ЭОМ;;МР;65-ХСА-1/24-ЭОМ-МР;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;;принят;развернуть мойку на 180 град (ориентировать витриной на дорогу) по указанию ГАПа от 13.02.26;;"КРП выдал 18.06.25
КРП выдал 08.09.25";07.11.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;4;Внутренние системы водоснабжения и канализации. ;65-ХСА-1/24;ВК;;МР;65-ХСА-1/24-ВК-МР;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;развернуть мойку на 180 град (ориентировать витриной на дорогу) по указанию ГАПа от 13.02.26;;КРП выдал 27.06.25;05.08.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;5;Отопление, вентиляция и кондиционирование. ;65-ХСА-1/24;ОВ;;МР;65-ХСА-1/24-ОВ-МР;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;развернуть мойку на 180 град (ориентировать витриной на дорогу) по указанию ГАПа от 13.02.26;;КРП выдал 01.10.25;02.10.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;6;Пожарная сигнализация. ;65-ХСА-1/24;ПС;;МР;65-ХСА-1/24-ПС-МР;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;развернуть мойку на 180 град (ориентировать витриной на дорогу) по указанию ГАПа от 13.02.26;;КРП выдал 01.08.25;04.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;Внутриплощадочные решения;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Генеральный план;65-ХСА-1/24;ГП;;;65-ХСА-1/24-ГП;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, старая версия;не принят;"Обновить СПИС по изменениям ЭС

Добавить конструкции лестницы и парклета

Добавить расход песка и бетона поготовки под фундаменты навеса, добавить гидроизоляцию фундаментов

Добавить зоны пониженного бордюра по указанию ГАПа";01.04.2026;"КРП выдал 15.05.25
Изм.1 - КРП выдал 29.05.25
Изм.2 - КРП выдал 29.10.25
Изм.3 - КРП выдал 06.02.26
Изм.4 - КРП выдал 02.04.26";"Изм.1 - 02.06.25
Изм.2 - 30.10.25";"Савстрой - бум.версия - 12.08.25
"
0feb8a44-a0f4-11ef-af7f-0050560219d5;2;Электроснабжение;65-ХСА-1/24;ЭС;;;65-ХСА-1/24-ЭС;;;;;;;;;;;;;;30.04.2025;;не принят;"корректировка по распоряжению №11 Ленинский от 04.12.25 - изменение объемно-планировочных решений АСЦ, положения парковок МГН , пандусов у АСЦ, парковок для зарядки электромобилей у АСЦ

по распоряжению №12 Ленинский от 17.12.25 увеличение мощности двух трансформаторов блока D с 1000 кВА до 1250 кВА каждый

переподключение северной КНС от блока В

Добавить освещение навеса УК";01.04.2026;"КРП выдал 15.05.25
КРП выдал 27.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
изм.1-2 - КРП выдал 02.12.25
Изм.2 - КРП выдал 08.12.25";"30.06.25
07.07.25
Изм.1,2 - 03.12.25
Изм.2 - 09.12.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;3;Наружные сети водоснабжения и канализации (включая КНС, ДНС, ЛОС мойки);65-ХСА-1/24;НВК;;;65-ХСА-1/24-НВК;;;;;;;;;;;;;;30.04.2025;;принят;;;"КРП выдал 23.04.25
КРП выдал 15.05.25
КРП выдал 02.06.25
КРП выдал 19.06.25
изм.1 - КРП выдал 19.09.25
изм.2,3 - КРП выдал 13.01.26
Изм.3 - КРП выдал 20.01.26
Изм.4 - КРП выдал 16.03.26";"02.06.25
25.06.25
19.09.25 - изм.1
20.01.26 - изм.2,3
23.03.26 - Изм.4";"Стройдекор - бум.версия - 09.07.25
Стройдекор - Изм.3 - эл.версия - 09.07.25
Интерстрой - Изм.4 - эл.версия - 23.03.26"
0feb8a44-a0f4-11ef-af7f-0050560219d5;4;Наружные сети связи;65-ХСА-1/24;НСС;;;65-ХСА-1/24-НСС;;;;;;;;;;;;;;30.04.2025;;не принят;"по распрояжению №14-Ленинский от 02.02.26 откорректировать телефоную канализацию

Включение в раздел объема по кабелю ПС, объединяющего все здания комплекса. Визуализация трассы прокладки кабеля ПС";01.04.2026;"КРП выдал 13.08.25
КРП выдал 08.09.25
КРП выдал 02.10.25
КРП выдал 06.10.25";;
0feb8a44-a0f4-11ef-af7f-0050560219d5;5;Система наружного видеонаблюдения, СКУД;65-ХСА-1/24;ВН,СКУД;;;65-ХСА-1/24-ВН,СКУД;;;;;;;;;;;;;;30.04.2025;;принят;Актуализация подосновы ГП. Актуализация трасс НСС, замечания/комментарии Мультиинжиниринг;01.04.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25";16.09.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;6;Насосная станция пожаротушения;65-ХСА-1/24;НСП;;;65-ХСА-1/24-НСП;;;;;;;;;;;;;;;;принят;;;КРП выдал 30.05.25;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;Всего:;;198;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;Принято:;;144;;для отчета здоровье проекта;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;Не принято:;;42;;план выдачи в апреле:;Факт выдачи, кол-во/мес:;a.yanchurkin@conall.ru;шифры
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;На рассмотрении:;;12;;44;17;Перевыданы КРП в январе (до 1 числа след месяца):;"НВК; ОГН-А,В,С,U1,U2, U3,U4;
КМ3-U1,U2, -U3,U4;
КМ3-А,В,С; КЖ1-D, КЖ4,КЖ4.И-D, КЖ1-АСЦ, КЖ3,КЖ3.И-АСЦ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;;;;;;;;;;;;;;;;;;;;;Не выдано:;;0;след выдача:;ожидается выдача в марте:;22;Перевыданы КРП в феврале (до 1 числа след месяца):;"АС4-А,В,С,D,U1,U2,U3,U4
КМ1-D, КМ3-D, КМ4-D
КМ1-АСЦ, КМ2-АСЦ, КМ3-АСЦ
КЖ2-А,В,С,D,АСЦ,U1,U2,U3,U4
АС4-С; ПС-А; КЖ4-АСЦ"
